@relation punches

@attribute high_g_x_mean numeric
@attribute high_g_y_mean numeric
@attribute high_g_z_mean numeric
@attribute low_g_x_mean numeric
@attribute low_g_y_mean numeric
@attribute low_g_z_mean numeric
@attribute gyro_x_mean numeric
@attribute gyro_y_mean numeric
@attribute gyro_z_mean numeric
@attribute high_g_x_var numeric
@attribute high_g_y_var numeric
@attribute high_g_z_var numeric
@attribute low_g_x_var numeric
@attribute low_g_y_var numeric
@attribute low_g_z_var numeric
@attribute gyro_x_var numeric
@attribute gyro_y_var numeric
@attribute gyro_z_var numeric
@attribute high_g_x_skew numeric
@attribute high_g_y_skew numeric
@attribute high_g_z_skew numeric
@attribute low_g_x_skew numeric
@attribute low_g_y_skew numeric
@attribute low_g_z_skew numeric
@attribute gyro_x_skew numeric
@attribute gyro_y_skew numeric
@attribute gyro_z_skew numeric
@attribute high_g_x_kurt numeric
@attribute high_g_y_kurt numeric
@attribute high_g_z_kurt numeric
@attribute low_g_x_kurt numeric
@attribute low_g_y_kurt numeric
@attribute low_g_z_kurt numeric
@attribute gyro_x_kurt numeric
@attribute gyro_y_kurt numeric
@attribute gyro_z_kurt numeric
@attribute punch_type {jab, hook, uppercut}

@data
-1.10050251256,3.12814070352,2.28391959799,-3.89195979899,12.8718592965,11.351758794,-11.567839196,-7.35427135678,-11.567839196,26.2662811545,5.98609252292,8.76109820459,448.036066008,187.820263377,286.132547158,1472.6675084,6270.63077321,1472.6675084,32.59352838,-0.427768107311,-5.38550788197,-55.0114260992,20.881138323,9.21272709965,-14.4145791919,60.8667830897,-14.4145791919,50.5780137808,10.1092494554,20.212615438,23.76024792,13.0919855486,4.07763590238,3.92769929981,2.09558929607,3.92769929981,uppercut
-1.24827586207,3.10689655172,2.91724137931,-5.7,13.2448275862,15.5068965517,-8.90689655172,9.40689655172,-8.90689655172,35.5521521998,7.37822829964,11.2138406659,712.223793103,201.240059453,439.070642093,1420.73271106,6628.8344352,1420.73271106,28.345775352,-2.33969211625,0.946156547206,-15.1606845635,25.0847957477,11.6883501443,-7.15529684752,36.9649002168,-7.15529684752,30.0913670266,20.2258066106,4.57943177241,14.3056935531,20.6143749331,3.52275166459,3.41157137453,1.5898377386,3.41157137453,uppercut
-0.924632352941,2.82904411765,1.98345588235,-2.31801470588,10.9319852941,8.46507352941,-9.88235294118,-21.8952205882,-9.88235294118,21.5696873648,7.21893585099,11.7037704098,366.783057823,216.313388706,392.774515436,1000.06336505,5090.97615363,1000.06336505,31.0177445257,2.21074331418,-4.11329957943,-62.1035615734,28.0125581166,-26.8170306137,-15.2947792546,78.0576574489,-15.2947792546,54.3323246988,14.8525192186,30.6757769903,31.2444400052,18.1881659541,15.9058592179,5.89131373696,3.11353446647,5.89131373696,uppercut
-1.02389078498,2.78839590444,3.11604095563,-6.69965870307,10.3310580205,17.2116040956,-8.05802047782,11.2866894198,-8.05802047782,42.8151288891,8.60368787056,30.2732239164,658.510477699,242.692448369,812.282868758,1748.02735035,6152.72326993,1748.02735035,32.1419388473,9.13893531655,-13.4393851101,-51.2716446795,38.6155538314,-9.53954086625,-7.95259887615,36.9384591807,-7.95259887615,29.453458549,29.5455784639,22.8915775961,16.4613860671,25.5448209761,6.92072602716,3.61061176667,1.7904412544,3.61061176667,uppercut
-1.26845637584,2.86353467562,1.87472035794,-3.75167785235,11.2416107383,7.38478747204,-18.1789709172,15.3691275168,-18.1789709172,20.330615738,10.1670595419,8.60622894865,354.996501659,269.467351321,357.028672382,1401.74873004,4818.8592706,1401.74873004,31.134677613,9.18286350139,4.5172426647,-53.8502968719,33.635070888,-5.81549435266,-10.8244889682,42.0556948403,-10.8244889682,61.0351861066,52.23111193,11.0909349836,29.4675186924,27.58529905,12.6566598788,3.8493657497,1.78214863148,3.8493657497,uppercut
-1.52643171806,2.40308370044,2.37004405286,-4.16960352423,8.6718061674,11.6674008811,-8.6872246696,-14.1387665198,-8.6872246696,18.0730899105,3.94545304586,7.62518193639,465.845683984,156.405504667,286.737395447,864.884550447,5738.93008306,864.884550447,22.9133967781,1.89351176003,-0.0109804443491,-18.9741034928,36.3409508144,4.23453710381,-7.96229883542,61.9795218385,-7.96229883542,39.9849050652,26.7305592404,11.4780955919,21.3348900301,37.3404598882,14.399569211,6.91311581519,2.47712170767,6.91311581519,uppercut
-0.975903614458,2.72590361446,2.3343373494,-5.14759036145,10.7891566265,11.9246987952,-6.65963855422,18.7560240964,-6.65963855422,34.1078530991,7.06643743649,14.0599052838,463.806530338,218.847111337,385.437100813,1268.83294927,6824.53987335,1268.83294927,33.1182256163,-0.113476158385,-15.1062565392,-67.7422839251,26.2612565058,-22.0895761821,9.63760620006,2.8345043408,9.63760620006,37.4810392007,40.7350306516,43.5869488974,25.0835177311,31.9646681797,12.3040973705,3.23493094738,1.5234634603,3.23493094738,uppercut
-1.01683501684,3.32996632997,2.9696969697,-6.58249158249,14.0909090909,14.3569023569,-17.0,8.79797979798,-17.0,40.4542620368,8.42310875308,13.133761861,740.07484497,245.705540251,569.192486028,1372.92929293,6707.40699929,1372.92929293,29.0960655927,-2.09435196346,3.46089606969,-37.128036148,14.2265125387,-7.5006077326,12.5486301112,36.8606723439,12.5486301112,27.2482270164,13.7402354101,6.28084887021,13.7636687139,15.0396073894,7.53370317287,4.08575323143,1.61634938262,4.08575323143,uppercut
-1.02194357367,3.18181818182,2.72727272727,-1.62068965517,12.4231974922,12.6802507837,-15.934169279,2.68965517241,-15.934169279,25.2879197335,8.93245939014,11.4836135651,591.414117393,279.052878804,461.038826269,1024.91416161,7529.07296508,1024.91416161,26.1572486791,0.875952102164,3.85510049798,13.2364614299,13.4206041245,-31.2261554526,1.80188720755,35.1114607201,1.80188720755,35.5942662832,53.0883218889,15.5057084458,19.6819139397,30.6234576463,13.6629052811,5.04932875886,1.59778866195,5.04932875886,uppercut
-1.22653721683,2.90938511327,2.2427184466,-5.60841423948,11.4368932039,9.25242718447,1.16504854369,25.0097087379,1.16504854369,35.6509462616,9.53224201674,11.3876896974,646.218828877,299.55993339,537.606183429,1303.58764571,4591.52417759,1303.58764571,35.9892836415,6.70415028942,6.05354529823,-11.4491875026,7.08534575313,-34.479313929,-17.0157639108,23.9389313267,-17.0157639108,48.8985067917,33.5747019759,11.3262161587,18.1222299544,29.8391594764,14.6954672094,6.04134688468,2.14423856954,6.04134688468,uppercut
